체험마을명,시군구명,체험프로그램구분,체험프로그램명,소재지도로명주소,대표전화번호,홈페이지주소
해바리마을,남해군,농작물경작체험+건강+자연생태체험+전통문화체험+만들기체험,(신)소망등체험+홰바리패키지+홰바리체험+편백향주머니만들기+패키지+팜파티+탄소중립체험+시금치수확+숲체험+소라화분만들기+선상어부패키지+선상어부체험+불멸의푸드체험+미니단호박수확체험+매실수확체험+마늘수확체험+탄소중립숲체험+참다래수확+짚공예+유자청만들기+유자수확+유자비누만들기체험+완두콩수확+영농실습체험+아로니아수확+감자수확체험+갯벌생태체험(신)+낭만패키지+땅콩호박수확체험+대산박일+(신)전래놀이,경상남도 남해군 창선면 서부로 257,055-867-1616,http://haebari.kr
해비알마을,태안군,기타,올레길트래킹+효소찜질방,충청남도 태안군 안면읍 해안관광로 44-13,NULL,NULL
해울림마을,남해군,농작물경작체험+자연생태체험+건강+만들기체험,강정만들기+체험용장갑및도구+유자청만들기+엿만들기+강정만들기+엿만들기+승마체험+섬초캐기체험+목장체험+대나무천연비누만들기+낙지통발던지기+고사리체험+갯벌체험-조개잡이+갯벌체험-쏙잡이,경상남도 남해군 창선면 흥선로 1330,055-867-5998,http://blog.naver.com/haeullim2021
해평산뜰애마을,영동군,농작물경작체험+만들기체험+전통문화체험,감따기체험+전통놀이체험+통나무화분+포도따기+제철밥상체험+오디따기체험+건강차체험+과일요거트+다슬기요리,충청북도 영동군 매곡면 해평길 82,NULL,https://www.sandrok.modoo.at
호롱불마을,무주군,기타+자연생태체험+전통문화체험+만들기체험,고사리체험+아르고+투명카누+호롱불무드등+우리농산물피클체험+떡메치기+꽃마차투어+농장체험(사과+배+포도),전북특별자치도 무주군 설천면 무설로 700,063-322-8001,NULL
황금을따는마을,영동군,기타+자연생태체험+전통문화체험,곶감만들기+산야초+솔잎효소담그기+스카프+T셔츠에그림그리기+자연산버섯채취+산채비빔밥재료채취+도자기만들기체험,충청북도 영동군 영동읍 임계길 249,NULL,NULL
황토구들마을,평창군,농작물경작체험+전통문화체험+건강+기타,구들아궁이백숙체험+숲치유프로그램+어린이영어명상+힐링요가명상+황토화덕먹거리체험+한국전통구들교육+치유농업프로그램+천렵체험+전통음식체험+썰매+스케이트타기+숙박및기타+국궁및전통놀이체험+농산물수확체험+수제소시지/햄버거만들기+미니구들체험,강원특별자치도 평창군 용평면 의풍포길 23-10,NULL,https://htgdv.modoo.at/
황토열매마을,순창군,농작물경작체험+만들기체험+자연생태체험+건강+기타,대나무빗자루만들기+대나무텐트꾸미기(가족체험)+마음챙김(치유글쓰기)+순창집고추장체험+자연물공예+텃밭야채오븐구이+천연염색(면티셔츠)+연잎밥식생활체험+빵떡어멈수다로굽다+또띠아피자,전북특별자치도 순창군 금과면 목동1길 19,NULL,NULL
회룡농촌체험휴양마을,남해군,전통문화체험+건강+기타,수영장+야영+티볼,경상남도 남해군 서면 남서대로 2645,055-863-8888,NULL
후촌마을,임실군,농작물경작체험+자연생태체험+만들기체험,[박람회키트]무지개케익체험키트+클렌징만들기+임실치즈피자만들기+임실치즈블루베리무지개케익만들기+임실스트링치즈만들기+스킨만들기+산촌캠프패키지+블루베리쿠키만들기+불루베리따기+블루베리초코파이만들기+블루베리체험장대여비+블루베리양갱만들기+블루베리아이스크림만들기+블루베리수확하기+단블루베리무지개케익만들기+단블루베리무지개케익(단)만들기,전북특별자치도 임실군 성수면 도인4길 3,063-643-0919,NULL
休무풍승지(철목),무주군,농작물경작체험+전통문화체험+만들기체험+자연생태체험+기타,달집태우기+두부만들기+매실청만들기+블루베리체험+치즈만들기체험+천연비누만들기+와일드푸드체험+애플시나몬청+알고먹는돼지고기+산야초떡만들기+사선암가는길트래킹+사과펜케익만들기+사과따기+피자만들기+풍등날리기+포도체험+칡캐기체험+복숭아체험+매실발효소만들기+당나귀체험+농사체험(농경체험)+감따기체험+녹차화분분재,전북특별자치도 무주군 무풍면 철목길 61,063-324-5129,http://www.hyumupung.co.kr
흙진주포도체험마을,영동군,농작물경작체험+기타,각종과일즙+감자캐기+꽃산병(떡)체+농촌일손돕기+묵체험+블루베리따기+와인시음+포도주+포도와인만들기+포도따기체험+컨츄리와인견학+초코렛+쨈만들기+전래놀이+자원봉사+와인족욕+화전+포도초코렛만들기+숙박+버섯따기체험+맛체험+농수산물수확체험+곶감깍기+각종장아찌담기,충청북도 영동군 영동읍 주곡1길 5,NULL,http://www.no1podo.kr
흥부마을,남원시,농작물경작체험+만들기체험+자연생태체험,농산물수확체험+불루베리수확체험+불루베리잼만들기+오미자젤리+흥부길걷기+블루베리화분심기+마쉬멜로만들기,전북특별자치도 남원시 아영면 흥부로 275,063-625-2932,http://cafe.naver.com/heungbumaeul
흰구름산촌마을,평창군,기타+만들기체험+전통문화체험,공예체험+메주만들기+송어맨손잡기+힐링워킹+장아찌담그기+오제미던지기+시골밥상+스크린체험홀+스크린체험+세그웨이체험+마을탐사및지도그리기+나만의컵만들기+농가농사체험+마을생태체험+두부만들기,강원특별자치도 평창군 미탄면 창터길 29-10,033-333-0034,http://wcloud.modoo.at
